PLMN-0123456789012345678901234567890123456789012345678901234567890123456789PLMN/MRBTS-0123456789012345678901234567890123456789012345678901234567890123456789{MRBTSID},{'btsName': 'PET_TEAM'; '$class': 'com.nokia.srbts.lte:MRBTS'; '$maintenanceRegionCId': 'NAPET'; 'autoConHWId': 'L9123100049'; '$version': 'MRBTS19_1813_001'; 'autoConfBlocked': '0'; '$maintenanceRegionId': 'LTE'; 'altitude': '58'; 'longitude': '255856360'; 'latitude': '650507860'; 'commissioningRequired': '1'}
PLMN-0123456789012345678901234567890123456789012345678901234567890123456789PLMN/MRBTS-0123456789012345678901234567890123456789012345678901234567890123456789{MRBTSID}/EQM-01234567890123456789012345678901234567890123456789012345678901234567891,{'$version': 'EQM19A_1904_002'; '$class': 'com.nokia.srbts.eqm:EQM'}
PLMN-0123456789012345678901234567890123456789012345678901234567890123456789PLMN/MRBTS-0123456789012345678901234567890123456789012345678901234567890123456789{MRBTSID}/EQM-01234567890123456789012345678901234567890123456789012345678901234567891/APEQM-01234567890123456789012345678901234567890123456789012345678901234567891,{'berMinorAlarmThreshold': '-13'; 'berMajorAlarmThreshold': '-12'; '$version': 'EQM19A_1904_002'; '$class': 'com.nokia.srbts.eqm:APEQM'; 'aldScanningInterval': '1'}
PLMN-0123456789012345678901234567890123456789012345678901234567890123456789PLMN/MRBTS-0123456789012345678901234567890123456789012345678901234567890123456789{MRBTSID}/EQM-01234567890123456789012345678901234567890123456789012345678901234567891/APEQM-01234567890123456789012345678901234567890123456789012345678901234567891/ALD-01234567890123456789012345678901234567890123456789012345678901234567891,{'controlProtocol': '3'; 'productCode': '86010118'; '$version': 'EQM19A_1904_002'; '$class': 'com.nokia.srbts.eqm:ALD'; 'serialNumber': 'CSC3558454'}
PLMN-0123456789012345678901234567890123456789012345678901234567890123456789PLMN/MRBTS-0123456789012345678901234567890123456789012345678901234567890123456789{MRBTSID}/EQM-01234567890123456789012345678901234567890123456789012345678901234567891/APEQM-01234567890123456789012345678901234567890123456789012345678901234567891/ALD-01234567890123456789012345678901234567890123456789012345678901234567891/RETU-01234567890123456789012345678901234567890123456789012345678901234567891,{'antBandList:Structure1:antBeamwidth': '64'; 'antBandList:Structure1:antFreqBand': '12'; 'antlDNList:Value2': 'external'; 'antlDNList:Value1': 'MRBTS-{MRBTSID}/EQM-1/APEQM-1/RMOD-4/ANTL-7'; 'antBandList:Structure3:antOperGain': '153'; 'antBandList:Structure3:antBeamwidth': '67'; '$class': 'com.nokia.srbts.eqm:RETU'; 'antBandList:Structure2:antFreqBand': '13'; 'minAngle': '0'; 'antBandList:Structure1:antOperGain': '155'; 'maxAngle': '220'; 'antBandList:Structure3:antFreqBand': '14'; 'antModel': '80010247'; 'antBandList:Structure2:antOperGain': '154'; '$version': 'EQM19A_1904_002'; 'antBearing': '0'; 'angle': '150'; 'subunitNumber': '1'; 'antBandList:Structure2:antBeamwidth': '66'; 'mechanicalAngle': '0'}
PLMN-0123456789012345678901234567890123456789012345678901234567890123456789PLMN/MRBTS-0123456789012345678901234567890123456789012345678901234567890123456789{MRBTSID}/EQM-01234567890123456789012345678901234567890123456789012345678901234567891/APEQM-01234567890123456789012345678901234567890123456789012345678901234567891/ALD-01234567890123456789012345678901234567890123456789012345678901234567891/RETU-01234567890123456789012345678901234567890123456789012345678901234567891/CREL-01234567890123456789012345678901234567890123456789012345678901234567890,{'$version': 'EQM19A_1904_002'; '$class': 'com.nokia.srbts.eqm:CREL'; 'targetCellDN': 'PLMN-PLMN/MRBTS-{MRBTSID}/LNBTS-1/LNCEL-4'}
PLMN-0123456789012345678901234567890123456789012345678901234567890123456789PLMN/MRBTS-0123456789012345678901234567890123456789012345678901234567890123456789{MRBTSID}/EQM-01234567890123456789012345678901234567890123456789012345678901234567891/APEQM-01234567890123456789012345678901234567890123456789012345678901234567891/ALD-01234567890123456789012345678901234567890123456789012345678901234567891/RETU-01234567890123456789012345678901234567890123456789012345678901234567892,{'antBandList:Structure1:antBeamwidth': '64'; 'antBandList:Structure1:antFreqBand': '12'; 'antlDNList:Value2': 'external'; 'antlDNList:Value1': 'MRBTS-{MRBTSID}/EQM-1/APEQM-1/RMOD-1/ANTL-1'; 'antBandList:Structure3:antOperGain': '153'; 'antBandList:Structure3:antBeamwidth': '67'; '$class': 'com.nokia.srbts.eqm:RETU'; 'antBandList:Structure2:antFreqBand': '13'; 'minAngle': '0'; 'antBandList:Structure1:antOperGain': '155'; 'maxAngle': '220'; 'antBandList:Structure3:antFreqBand': '14'; 'antModel': '80010247'; 'antBandList:Structure2:antOperGain': '154'; '$version': 'EQM19A_1904_002'; 'antBearing': '0'; 'angle': '150'; 'subunitNumber': '2'; 'antBandList:Structure2:antBeamwidth': '66'; 'mechanicalAngle': '0'}
PLMN-0123456789012345678901234567890123456789012345678901234567890123456789PLMN/MRBTS-0123456789012345678901234567890123456789012345678901234567890123456789{MRBTSID}/EQM-01234567890123456789012345678901234567890123456789012345678901234567891/APEQM-01234567890123456789012345678901234567890123456789012345678901234567891/ALD-01234567890123456789012345678901234567890123456789012345678901234567891/RETU-01234567890123456789012345678901234567890123456789012345678901234567892/CREL-01234567890123456789012345678901234567890123456789012345678901234567890,{'$version': 'EQM19A_1904_002'; '$class': 'com.nokia.srbts.eqm:CREL'; 'targetCellDN': 'PLMN-PLMN/MRBTS-{MRBTSID}/LNBTS-1/LNCEL-1'}
PLMN-0123456789012345678901234567890123456789012345678901234567890123456789PLMN/MRBTS-0123456789012345678901234567890123456789012345678901234567890123456789{MRBTSID}/EQM-01234567890123456789012345678901234567890123456789012345678901234567891/APEQM-01234567890123456789012345678901234567890123456789012345678901234567891/ALD-01234567890123456789012345678901234567890123456789012345678901234567891/RETU-01234567890123456789012345678901234567890123456789012345678901234567893,{'antBandList:Structure1:antBeamwidth': '64'; 'antBandList:Structure1:antFreqBand': '12'; 'antlDNList:Value2': 'external'; 'antlDNList:Value1': 'MRBTS-{MRBTSID}/EQM-1/APEQM-1/RMOD-3/ANTL-5'; 'antBandList:Structure3:antOperGain': '153'; 'antBandList:Structure3:antBeamwidth': '67'; '$class': 'com.nokia.srbts.eqm:RETU'; 'antBandList:Structure2:antFreqBand': '13'; 'minAngle': '0'; 'antBandList:Structure1:antOperGain': '155'; 'maxAngle': '220'; 'antBandList:Structure3:antFreqBand': '14'; 'antModel': '80010247'; 'antBandList:Structure2:antOperGain': '154'; '$version': 'EQM19A_1904_002'; 'antBearing': '0'; 'angle': '150'; 'subunitNumber': '3'; 'antBandList:Structure2:antBeamwidth': '66'; 'mechanicalAngle': '0'}
PLMN-0123456789012345678901234567890123456789012345678901234567890123456789PLMN/MRBTS-0123456789012345678901234567890123456789012345678901234567890123456789{MRBTSID}/EQM-01234567890123456789012345678901234567890123456789012345678901234567891/APEQM-01234567890123456789012345678901234567890123456789012345678901234567891/ALD-01234567890123456789012345678901234567890123456789012345678901234567891/RETU-01234567890123456789012345678901234567890123456789012345678901234567893/CREL-01234567890123456789012345678901234567890123456789012345678901234567890,{'$version': 'EQM19A_1904_002'; '$class': 'com.nokia.srbts.eqm:CREL'; 'targetCellDN': 'PLMN-PLMN/MRBTS-{MRBTSID}/LNBTS-1/LNCEL-3'}
PLMN-0123456789012345678901234567890123456789012345678901234567890123456789PLMN/MRBTS-0123456789012345678901234567890123456789012345678901234567890123456789{MRBTSID}/EQM-01234567890123456789012345678901234567890123456789012345678901234567891/APEQM-01234567890123456789012345678901234567890123456789012345678901234567891/ALD-01234567890123456789012345678901234567890123456789012345678901234567891/RETU-01234567890123456789012345678901234567890123456789012345678901234567894,{'antBandList:Structure1:antBeamwidth': '64'; 'antBandList:Structure1:antFreqBand': '12'; 'antlDNList:Value2': 'external'; 'antlDNList:Value1': 'MRBTS-{MRBTSID}/EQM-1/APEQM-1/RMOD-5/ANTL-9'; 'antBandList:Structure3:antOperGain': '153'; 'antBandList:Structure3:antBeamwidth': '67'; '$class': 'com.nokia.srbts.eqm:RETU'; 'antBandList:Structure2:antFreqBand': '13'; 'minAngle': '0'; 'antBandList:Structure1:antOperGain': '155'; 'maxAngle': '220'; 'antBandList:Structure3:antFreqBand': '14'; 'antModel': '80010247'; 'antBandList:Structure2:antOperGain': '154'; '$version': 'EQM19A_1904_002'; 'antBearing': '0'; 'angle': '150'; 'subunitNumber': '4'; 'antBandList:Structure2:antBeamwidth': '66'; 'mechanicalAngle': '0'}
